time,MACD,MACD_Hist,MACD_Signal
2019-12-04 16:00,0.0126,-0.0008,0.0134
2019-12-04 15:59,0.0146,0.0010,0.0136
2019-12-04 15:58,0.0129,-0.0004,0.0133
2019-12-04 15:57,0.0115,-0.0019,0.0134
2019-12-04 15:56,0.0121,-0.0018,0.0139
2019-12-04 15:55,0.0193,0.0050,0.0144
2019-12-04 15:54,0.0201,0.0070,0.0131
2019-12-04 15:53,0.0193,0.0079,0.0114
2019-12-04 15:52,0.0195,0.0101,0.0094
2019-12-04 15:51,0.0114,0.0045,0.0069
2019-12-04 15:50,0.0039,-0.0018,0.0057
2019-12-04 15:49,-0.0037,-0.0099,0.0062
2019-12-04 15:48,-0.0063,-0.0149,0.0087
2019-12-04 15:47,-0.0043,-0.0167,0.0124
2019-12-04 15:46,0.0043,-0.0122,0.0166
2019-12-04 15:45,0.0123,-0.0074,0.0196
2019-12-04 15:44,0.0151,-0.0064,0.0215
2019-12-04 15:43,0.0200,-0.0031,0.0231
2019-12-04 15:42,0.0234,-0.0005,0.0239
2019-12-04 15:41,0.0244,0.0004,0.0240
2019-12-04 15:40,0.0232,-0.0007,0.0239
2019-12-04 15:39,0.0214,-0.0027,0.0241
2019-12-04 15:38,0.0239,-0.0008,0.0247
2019-12-04 15:37,0.0273,0.0023,0.0249
2019-12-04 15:36,0.0296,0.0053,0.0243
2019-12-04 15:35,0.0291,0.0061,0.0230
2019-12-04 15:34,0.0270,0.0055,0.0215
2019-12-04 15:33,0.0229,0.0028,0.0201
2019-12-04 15:32,0.0215,0.0021,0.0194
2019-12-04 15:31,0.0193,0.0004,0.0189
2019-12-04 15:30,0.0203,0.0015,0.0188
2019-12-04 15:29,0.0213,0.0029,0.0184
2019-12-04 15:28,0.0228,0.0051,0.0177
2019-12-04 15:27,0.0228,0.0064,0.0164
2019-12-04 15:26,0.0241,0.0093,0.0148
2019-12-04 15:25,0.0197,0.0072,0.0125
2019-12-04 15:24,0.0152,0.0045,0.0107
2019-12-04 15:23,0.0129,0.0034,0.0095
2019-12-04 15:22,0.0109,0.0022,0.0087
2019-12-04 15:21,0.0091,0.0010,0.0081
2019-12-04 15:20,0.0090,0.0012,0.0079
2019-12-04 15:19,0.0081,0.0005,0.0076
2019-12-04 15:18,0.0067,-0.0008,0.0075
2019-12-04 15:17,0.0084,0.0007,0.0077
2019-12-04 15:16,0.0094,0.0019,0.0075
2019-12-04 15:15,0.0116,0.0046,0.0070
2019-12-04 15:14,0.0096,0.0037,0.0059
2019-12-04 15:13,0.0095,0.0046,0.0049
2019-12-04 15:12,0.0062,0.0024,0.0038
2019-12-04 15:11,0.0019,-0.0012,0.0032
2019-12-04 15:10,-0.0015,-0.0051,0.0035
2019-12-04 15:09,-0.0039,-0.0087,0.0048
2019-12-04 15:08,-0.0054,-0.0124,0.0069
2019-12-04 15:07,-0.0037,-0.0137,0.0100
2019-12-04 15:06,-0.0003,-0.0138,0.0134
2019-12-04 15:05,0.0019,-0.0150,0.0169
2019-12-04 15:04,0.0026,-0.0180,0.0206
2019-12-04 15:03,0.0077,-0.0174,0.0251
2019-12-04 15:02,0.0151,-0.0144,0.0295
2019-12-04 15:01,0.0182,-0.0149,0.0331
2019-12-04 15:00,0.0228,-0.0140,0.0368
2019-12-04 14:59,0.0243,-0.0160,0.0403
2019-12-04 14:58,0.0269,-0.0174,0.0443
2019-12-04 14:57,0.0339,-0.0148,0.0487
2019-12-04 14:56,0.0385,-0.0138,0.0524
2019-12-04 14:55,0.0436,-0.0122,0.0558
2019-12-04 14:54,0.0453,-0.0136,0.0589
2019-12-04 14:53,0.0463,-0.0160,0.0623
2019-12-04 14:52,0.0496,-0.0167,0.0663
2019-12-04 14:51,0.0579,-0.0126,0.0704
2019-12-04 14:50,0.0627,-0.0109,0.0736
2019-12-04 14:49,0.0690,-0.0074,0.0763
2019-12-04 14:48,0.0780,-0.0001,0.0782
2019-12-04 14:47,0.0823,0.0041,0.0782
2019-12-04 14:46,0.0805,0.0034,0.0772
2019-12-04 14:45,0.0770,0.0007,0.0763
2019-12-04 14:44,0.0776,0.0014,0.0761
2019-12-04 14:43,0.0807,0.0049,0.0758
2019-12-04 14:42,0.0820,0.0075,0.0745
2019-12-04 14:41,0.0835,0.0108,0.0727
2019-12-04 14:40,0.0832,0.0132,0.0700
2019-12-04 14:39,0.0805,0.0138,0.0667
2019-12-04 14:38,0.0790,0.0157,0.0632
2019-12-04 14:37,0.0728,0.0135,0.0593
2019-12-04 14:36,0.0650,0.0090,0.0559
2019-12-04 14:35,0.0590,0.0054,0.0537
2019-12-04 14:34,0.0517,-0.0007,0.0523
2019-12-04 14:33,0.0488,-0.0037,0.0525
2019-12-04 14:32,0.0504,-0.0030,0.0534
2019-12-04 14:31,0.0519,-0.0023,0.0542
2019-12-04 14:30,0.0497,-0.0050,0.0547
2019-12-04 14:29,0.0514,-0.0046,0.0560
2019-12-04 14:28,0.0558,-0.0013,0.0571
2019-12-04 14:27,0.0576,0.0001,0.0575
2019-12-04 14:26,0.0579,0.0005,0.0575
2019-12-04 14:25,0.0613,0.0040,0.0573
2019-12-04 14:24,0.0610,0.0047,0.0563
2019-12-04 14:23,0.0658,0.0107,0.0552
2019-12-04 14:22,0.0660,0.0135,0.0525
2019-12-04 14:21,0.0601,0.0109,0.0491
2019-12-04 14:20,0.0573,0.0109,0.0464
2019-12-04 14:19,0.0568,0.0131,0.0437
2019-12-04 14:18,0.0570,0.0166,0.0404
2019-12-04 14:17,0.0493,0.0131,0.0363
2019-12-04 14:16,0.0378,0.0048,0.0330
2019-12-04 14:15,0.0348,0.0030,0.0318
2019-12-04 14:14,0.0325,0.0014,0.0311
2019-12-04 14:13,0.0290,-0.0017,0.0307
2019-12-04 14:12,0.0273,-0.0039,0.0311
2019-12-04 14:11,0.0280,-0.0041,0.0321
2019-12-04 14:10,0.0290,-0.0041,0.0331
2019-12-04 14:09,0.0291,-0.0051,0.0342
2019-12-04 14:08,0.0297,-0.0057,0.0355
2019-12-04 14:07,0.0336,-0.0033,0.0369
2019-12-04 14:06,0.0357,-0.0020,0.0377
2019-12-04 14:05,0.0377,-0.0005,0.0382
2019-12-04 14:04,0.0368,-0.0016,0.0383
2019-12-04 14:03,0.0340,-0.0048,0.0387
2019-12-04 14:02,0.0320,-0.0080,0.0399
2019-12-04 14:01,0.0320,-0.0099,0.0419
2019-12-04 14:00,0.0346,-0.0098,0.0444
2019-12-04 13:59,0.0395,-0.0074,0.0468
2019-12-04 13:58,0.0451,-0.0036,0.0487
2019-12-04 13:57,0.0476,-0.0020,0.0496
2019-12-04 13:56,0.0480,-0.0021,0.0501
2019-12-04 13:55,0.0519,0.0014,0.0506
2019-12-04 13:54,0.0552,0.0049,0.0502
2019-12-04 13:53,0.0575,0.0085,0.0490
2019-12-04 13:52,0.0565,0.0096,0.0469
2019-12-04 13:51,0.0575,0.0130,0.0445
2019-12-04 13:50,0.0529,0.0117,0.0412
2019-12-04 13:49,0.0523,0.0140,0.0383
2019-12-04 13:48,0.0478,0.0130,0.0348
2019-12-04 13:47,0.0474,0.0158,0.0316
2019-12-04 13:46,0.0421,0.0145,0.0276
2019-12-04 13:45,0.0358,0.0118,0.0240
2019-12-04 13:44,0.0303,0.0092,0.0211
2019-12-04 13:43,0.0269,0.0081,0.0187
2019-12-04 13:42,0.0252,0.0085,0.0167
2019-12-04 13:41,0.0206,0.0060,0.0146
2019-12-04 13:40,0.0186,0.0055,0.0131
2019-12-04 13:39,0.0137,0.0020,0.0117
2019-12-04 13:38,0.0123,0.0011,0.0112
2019-12-04 13:37,0.0124,0.0014,0.0109
2019-12-04 13:36,0.0133,0.0028,0.0106
2019-12-04 13:35,0.0159,0.0060,0.0099
2019-12-04 13:34,0.0174,0.0090,0.0084
2019-12-04 13:33,0.0160,0.0099,0.0061
2019-12-04 13:32,0.0110,0.0073,0.0036
2019-12-04 13:31,0.0033,0.0015,0.0018
2019-12-04 13:30,0.0057,0.0043,0.0014
2019-12-04 13:29,0.0057,0.0053,0.0004
2019-12-04 13:28,0.0025,0.0035,-0.0010
2019-12-04 13:27,-0.0006,0.0012,-0.0018
2019-12-04 13:26,-0.0035,-0.0014,-0.0021
2019-12-04 13:25,-0.0062,-0.0044,-0.0018
2019-12-04 13:24,-0.0013,-0.0006,-0.0007
2019-12-04 13:23,-0.0013,-0.0007,-0.0005
2019-12-04 13:22,-0.0037,-0.0034,-0.0004
2019-12-04 13:21,-0.0083,-0.0088,0.0005
2019-12-04 13:20,-0.0110,-0.0137,0.0027
2019-12-04 13:19,-0.0112,-0.0173,0.0061
2019-12-04 13:18,-0.0041,-0.0146,0.0104
2019-12-04 13:17,-0.0002,-0.0143,0.0141
2019-12-04 13:16,0.0008,-0.0168,0.0176
2019-12-04 13:15,0.0026,-0.0193,0.0219
2019-12-04 13:14,0.0053,-0.0214,0.0267
2019-12-04 13:13,0.0076,-0.0244,0.0320
2019-12-04 13:12,0.0126,-0.0255,0.0381
2019-12-04 13:11,0.0157,-0.0289,0.0445
2019-12-04 13:10,0.0209,-0.0309,0.0517
2019-12-04 13:09,0.0237,-0.0358,0.0594
2019-12-04 13:08,0.0289,-0.0394,0.0684
2019-12-04 13:07,0.0424,-0.0359,0.0783
2019-12-04 13:06,0.0580,-0.0292,0.0872
2019-12-04 13:05,0.0714,-0.0232,0.0945
2019-12-04 13:04,0.0818,-0.0185,0.1003
2019-12-04 13:03,0.0949,-0.0100,0.1049
2019-12-04 13:02,0.1022,-0.0053,0.1074
2019-12-04 13:01,0.1095,0.0007,0.1088
2019-12-04 13:00,0.1114,0.0028,0.1086
2019-12-04 12:59,0.1155,0.0076,0.1079
2019-12-04 12:58,0.1169,0.0110,0.1060
2019-12-04 12:57,0.1156,0.0123,0.1032
2019-12-04 12:56,0.1188,0.0186,0.1002
2019-12-04 12:55,0.1201,0.0246,0.0955
2019-12-04 12:54,0.1154,0.0261,0.0894
2019-12-04 12:53,0.1104,0.0276,0.0828
2019-12-04 12:52,0.1023,0.0264,0.0760
2019-12-04 12:51,0.0926,0.0233,0.0694
2019-12-04 12:50,0.0839,0.0204,0.0636
2019-12-04 12:49,0.0757,0.0173,0.0585
2019-12-04 12:48,0.0662,0.0120,0.0541
2019-12-04 12:47,0.0601,0.0090,0.0511
2019-12-04 12:46,0.0516,0.0027,0.0489
2019-12-04 12:45,0.0524,0.0042,0.0482
2019-12-04 12:44,0.0544,0.0072,0.0472
2019-12-04 12:43,0.0567,0.0114,0.0454
2019-12-04 12:42,0.0563,0.0138,0.0425
2019-12-04 12:41,0.0570,0.0179,0.0391
2019-12-04 12:40,0.0540,0.0194,0.0346
2019-12-04 12:39,0.0463,0.0165,0.0297
2019-12-04 12:38,0.0388,0.0132,0.0256
2019-12-04 12:37,0.0358,0.0135,0.0223
2019-12-04 12:36,0.0331,0.0142,0.0189
2019-12-04 12:35,0.0276,0.0123,0.0154
2019-12-04 12:34,0.0253,0.0130,0.0123
2019-12-04 12:33,0.0189,0.0098,0.0091
2019-12-04 12:32,0.0145,0.0079,0.0066
2019-12-04 12:31,0.0107,0.0061,0.0046
2019-12-04 12:30,0.0118,0.0087,0.0031
2019-12-04 12:29,0.0126,0.0117,0.0010
2019-12-04 12:28,0.0114,0.0133,-0.0020
2019-12-04 12:27,0.0101,0.0154,-0.0053
2019-12-04 12:26,0.0066,0.0158,-0.0092
2019-12-04 12:25,0.0019,0.0150,-0.0131
2019-12-04 12:24,-0.0042,0.0126,-0.0169
2019-12-04 12:23,-0.0090,0.0110,-0.0200
2019-12-04 12:22,-0.0068,0.0160,-0.0228
2019-12-04 12:21,-0.0150,0.0118,-0.0268
2019-12-04 12:20,-0.0213,0.0085,-0.0297
2019-12-04 12:19,-0.0236,0.0083,-0.0319
2019-12-04 12:18,-0.0275,0.0064,-0.0339
2019-12-04 12:17,-0.0311,0.0045,-0.0355
2019-12-04 12:16,-0.0321,0.0045,-0.0366
2019-12-04 12:15,-0.0330,0.0048,-0.0378
2019-12-04 12:14,-0.0346,0.0043,-0.0390
2019-12-04 12:13,-0.0332,0.0069,-0.0400
2019-12-04 12:12,-0.0330,0.0087,-0.0418
2019-12-04 12:11,-0.0373,0.0066,-0.0439
2019-12-04 12:10,-0.0394,0.0062,-0.0456
2019-12-04 12:09,-0.0413,0.0059,-0.0472
2019-12-04 12:08,-0.0430,0.0056,-0.0486
2019-12-04 12:07,-0.0447,0.0054,-0.0500
2019-12-04 12:06,-0.0542,-0.0029,-0.0514
2019-12-04 12:05,-0.0575,-0.0069,-0.0507
2019-12-04 12:04,-0.0564,-0.0074,-0.0489
2019-12-04 12:03,-0.0586,-0.0115,-0.0471
2019-12-04 12:02,-0.0585,-0.0143,-0.0442
2019-12-04 12:01,-0.0515,-0.0108,-0.0406
2019-12-04 12:00,-0.0493,-0.0113,-0.0379
2019-12-04 11:59,-0.0514,-0.0164,-0.0351
2019-12-04 11:58,-0.0495,-0.0185,-0.0310
2019-12-04 11:57,-0.0462,-0.0198,-0.0264
2019-12-04 11:56,-0.0404,-0.0190,-0.0214
2019-12-04 11:55,-0.0374,-0.0207,-0.0167
2019-12-04 11:54,-0.0320,-0.0205,-0.0115
2019-12-04 11:53,-0.0231,-0.0168,-0.0064
2019-12-04 11:52,-0.0171,-0.0149,-0.0022
2019-12-04 11:51,-0.0086,-0.0102,0.0016
2019-12-04 11:50,-0.0032,-0.0073,0.0041
2019-12-04 11:49,0.0016,-0.0043,0.0060
2019-12-04 11:48,0.0047,-0.0023,0.0070
2019-12-04 11:47,0.0066,-0.0010,0.0076
2019-12-04 11:46,0.0069,-0.0010,0.0079
2019-12-04 11:45,0.0061,-0.0020,0.0081
2019-12-04 11:44,0.0070,-0.0016,0.0086
2019-12-04 11:43,0.0122,0.0032,0.0090
2019-12-04 11:42,0.0176,0.0094,0.0082
2019-12-04 11:41,0.0153,0.0094,0.0058
2019-12-04 11:40,0.0109,0.0074,0.0035
2019-12-04 11:39,0.0058,0.0042,0.0016
2019-12-04 11:38,0.0057,0.0051,0.0006
2019-12-04 11:36,0.0054,0.0061,-0.0007
2019-12-04 11:35,0.0030,0.0052,-0.0022
2019-12-04 11:33,0.0028,0.0063,-0.0035
2019-12-04 11:30,-0.0025,0.0026,-0.0051
2019-12-04 11:29,-0.0054,0.0003,-0.0057
2019-12-04 11:28,-0.0108,-0.0050,-0.0058
2019-12-04 11:27,-0.0105,-0.0059,-0.0045
2019-12-04 11:26,-0.0108,-0.0078,-0.0031
2019-12-04 11:25,-0.0173,-0.0162,-0.0011
2019-12-04 11:24,-0.0202,-0.0231,0.0029
2019-12-04 11:23,-0.0154,-0.0241,0.0087
2019-12-04 11:22,-0.0101,-0.0248,0.0147
2019-12-04 11:21,-0.0073,-0.0281,0.0209
2019-12-04 11:20,-0.0015,-0.0294,0.0279
2019-12-04 11:19,0.0059,-0.0294,0.0353
2019-12-04 11:18,0.0218,-0.0208,0.0426
2019-12-04 11:17,0.0312,-0.0167,0.0478
2019-12-04 11:16,0.0340,-0.0180,0.0520
2019-12-04 11:15,0.0467,-0.0098,0.0565
2019-12-04 11:14,0.0518,-0.0071,0.0589
2019-12-04 11:13,0.0534,-0.0074,0.0607
2019-12-04 11:12,0.0530,-0.0096,0.0625
2019-12-04 11:11,0.0540,-0.0109,0.0649
2019-12-04 11:10,0.0613,-0.0063,0.0677
2019-12-04 11:09,0.0658,-0.0034,0.0692
2019-12-04 11:08,0.0685,-0.0015,0.0701
2019-12-04 11:07,0.0710,0.0005,0.0705
2019-12-04 11:06,0.0706,0.0003,0.0703
2019-12-04 11:05,0.0650,-0.0053,0.0703
2019-12-04 11:04,0.0670,-0.0046,0.0716
2019-12-04 11:03,0.0696,-0.0031,0.0728
2019-12-04 11:02,0.0705,-0.0031,0.0735
2019-12-04 11:01,0.0675,-0.0068,0.0743
2019-12-04 11:00,0.0688,-0.0073,0.0760
2019-12-04 10:59,0.0755,-0.0023,0.0778
2019-12-04 10:58,0.0797,0.0013,0.0784
2019-12-04 10:57,0.0862,0.0081,0.0781
2019-12-04 10:56,0.0882,0.0121,0.0761
2019-12-04 10:55,0.0904,0.0174,0.0730
2019-12-04 10:54,0.0981,0.0294,0.0687
2019-12-04 10:53,0.0962,0.0349,0.0613
2019-12-04 10:52,0.0884,0.0358,0.0526
2019-12-04 10:51,0.0791,0.0354,0.0437
2019-12-04 10:50,0.0687,0.0339,0.0348
2019-12-04 10:49,0.0603,0.0339,0.0263
2019-12-04 10:48,0.0504,0.0325,0.0179
2019-12-04 10:47,0.0401,0.0304,0.0097
2019-12-04 10:46,0.0296,0.0275,0.0021
2019-12-04 10:45,0.0197,0.0245,-0.0047
2019-12-04 10:44,0.0142,0.0251,-0.0108
2019-12-04 10:43,0.0047,0.0218,-0.0171
2019-12-04 10:42,-0.0004,0.0221,-0.0226
2019-12-04 10:41,-0.0049,0.0232,-0.0281
2019-12-04 10:40,-0.0076,0.0263,-0.0339
2019-12-04 10:39,-0.0169,0.0235,-0.0405
2019-12-04 10:38,-0.0225,0.0239,-0.0463
2019-12-04 10:37,-0.0293,0.0230,-0.0523
2019-12-04 10:36,-0.0365,0.0216,-0.0581
2019-12-04 10:35,-0.0493,0.0142,-0.0635
2019-12-04 10:34,-0.0607,0.0063,-0.0670
2019-12-04 10:33,-0.0623,0.0063,-0.0686
2019-12-04 10:32,-0.0675,0.0027,-0.0702
2019-12-04 10:31,-0.0715,-0.0007,-0.0708
2019-12-04 10:30,-0.0701,0.0005,-0.0706
2019-12-04 10:29,-0.0662,0.0045,-0.0708
2019-12-04 10:28,-0.0572,0.0147,-0.0719
2019-12-04 10:27,-0.0561,0.0195,-0.0756
2019-12-04 10:26,-0.0559,0.0245,-0.0805
2019-12-04 10:25,-0.0575,0.0291,-0.0866
2019-12-04 10:24,-0.0601,0.0338,-0.0939
2019-12-04 10:23,-0.0646,0.0377,-0.1023
2019-12-04 10:22,-0.0746,0.0372,-0.1117
2019-12-04 10:21,-0.0917,0.0293,-0.1210
2019-12-04 10:20,-0.1129,0.0155,-0.1283
2019-12-04 10:19,-0.1331,-0.0009,-0.1322
2019-12-04 10:18,-0.1402,-0.0082,-0.1320
2019-12-04 10:17,-0.1440,-0.0140,-0.1299
2019-12-04 10:16,-0.1463,-0.0199,-0.1264
2019-12-04 10:15,-0.1523,-0.0309,-0.1215
2019-12-04 10:14,-0.1537,-0.0400,-0.1137
2019-12-04 10:13,-0.1492,-0.0454,-0.1037
2019-12-04 10:12,-0.1387,-0.0463,-0.0924
2019-12-04 10:11,-0.1289,-0.0481,-0.0808
2019-12-04 10:10,-0.1124,-0.0437,-0.0688
2019-12-04 10:09,-0.0949,-0.0370,-0.0579
2019-12-04 10:08,-0.0843,-0.0357,-0.0486
2019-12-04 10:07,-0.0774,-0.0377,-0.0397
2019-12-04 10:06,-0.0668,-0.0366,-0.0303
2019-12-04 10:05,-0.0574,-0.0363,-0.0211
2019-12-04 10:04,-0.0486,-0.0366,-0.0120
2019-12-04 10:03,-0.0372,-0.0343,-0.0029
2019-12-04 10:02,-0.0206,-0.0263,0.0057
2019-12-04 10:01,-0.0151,-0.0274,0.0123
2019-12-04 10:00,-0.0158,-0.0349,0.0191
2019-12-04 09:59,-0.0058,-0.0336,0.0278
2019-12-04 09:58,-0.0015,-0.0377,0.0362
2019-12-04 09:57,-0.0006,-0.0463,0.0457
2019-12-04 09:56,-0.0005,-0.0578,0.0572
2019-12-04 09:55,0.0078,-0.0639,0.0717
2019-12-04 09:54,0.0264,-0.0613,0.0877
2019-12-04 09:53,0.0478,-0.0552,0.1030
2019-12-04 09:52,0.0724,-0.0444,0.1168
2019-12-04 09:51,0.0985,-0.0294,0.1279
2019-12-04 09:50,0.1173,-0.0180,0.1352
2019-12-04 09:49,0.1344,-0.0053,0.1397
2019-12-04 09:48,0.1432,0.0021,0.1411
2019-12-04 09:47,0.1543,0.0137,0.1405
2019-12-04 09:46,0.1631,0.0260,0.1371
2019-12-04 09:45,0.1598,0.0292,0.1306
2019-12-04 09:44,0.1488,0.0255,0.1233
2019-12-04 09:43,0.1361,0.0192,0.1169
2019-12-04 09:42,0.1362,0.0241,0.1121
2019-12-04 09:41,0.1486,0.0425,0.1061
2019-12-04 09:40,0.1225,0.0270,0.0955
2019-12-04 09:39,0.1180,0.0293,0.0887
2019-12-04 09:38,0.1136,0.0322,0.0814
2019-12-04 09:37,0.0992,0.0259,0.0733
2019-12-04 09:36,0.1028,0.0359,0.0669
2019-12-04 09:35,0.0774,0.0195,0.0579
2019-12-04 09:34,0.0670,0.0140,0.0530
2019-12-04 09:33,0.0826,0.0330,0.0495
2019-12-04 09:32,0.0798,0.0385,0.0413
2019-12-04 09:31,0.0580,0.0264,0.0316
2019-12-03 16:00,0.0333,0.0082,0.0250
2019-12-03 15:59,0.0266,0.0036,0.0230
2019-12-03 15:58,0.0249,0.0028,0.0221
2019-12-03 15:57,0.0182,-0.0032,0.0214
2019-12-03 15:56,0.0181,-0.0041,0.0222
2019-12-03 15:55,0.0172,-0.0060,0.0232
2019-12-03 15:54,0.0198,-0.0048,0.0247
2019-12-03 15:53,0.0209,-0.0050,0.0259
2019-12-03 15:52,0.0240,-0.0031,0.0272
2019-12-03 15:51,0.0185,-0.0095,0.0279
2019-12-03 15:50,0.0162,-0.0141,0.0303
2019-12-03 15:49,0.0192,-0.0147,0.0338
2019-12-03 15:48,0.0206,-0.0169,0.0375
2019-12-03 15:47,0.0232,-0.0185,0.0417
2019-12-03 15:46,0.0303,-0.0160,0.0464
2019-12-03 15:45,0.0385,-0.0119,0.0504
2019-12-03 15:44,0.0447,-0.0087,0.0533
2019-12-03 15:43,0.0469,-0.0086,0.0555
2019-12-03 15:42,0.0469,-0.0107,0.0577
2019-12-03 15:41,0.0468,-0.0135,0.0603
2019-12-03 15:40,0.0527,-0.0111,0.0637
2019-12-03 15:39,0.0563,-0.0102,0.0665
2019-12-03 15:38,0.0661,-0.0029,0.0691
2019-12-03 15:37,0.0747,0.0050,0.0698
2019-12-03 15:36,0.0826,0.0141,0.0685
2019-12-03 15:35,0.0874,0.0223,0.0650
2019-12-03 15:34,0.0840,0.0246,0.0594
2019-12-03 15:33,0.0709,0.0176,0.0533
2019-12-03 15:32,0.0658,0.0169,0.0489
2019-12-03 15:31,0.0630,0.0183,0.0447
2019-12-03 15:30,0.0559,0.0158,0.0401
2019-12-03 15:29,0.0465,0.0104,0.0362
2019-12-03 15:28,0.0400,0.0065,0.0336
2019-12-03 15:27,0.0366,0.0047,0.0320
2019-12-03 15:26,0.0339,0.0031,0.0308
2019-12-03 15:25,0.0279,-0.0021,0.0300
2019-12-03 15:24,0.0250,-0.0055,0.0305
2019-12-03 15:23,0.0234,-0.0085,0.0319
2019-12-03 15:22,0.0215,-0.0125,0.0340
2019-12-03 15:21,0.0198,-0.0173,0.0371
2019-12-03 15:20,0.0286,-0.0129,0.0415
2019-12-03 15:19,0.0404,-0.0044,0.0447
2019-12-03 15:18,0.0477,0.0019,0.0458
2019-12-03 15:17,0.0523,0.0069,0.0453
2019-12-03 15:16,0.0543,0.0107,0.0436
2019-12-03 15:15,0.0521,0.0111,0.0409
2019-12-03 15:14,0.0444,0.0062,0.0381
2019-12-03 15:13,0.0395,0.0029,0.0366
2019-12-03 15:12,0.0403,0.0044,0.0359
2019-12-03 15:11,0.0387,0.0040,0.0347
2019-12-03 15:10,0.0372,0.0034,0.0338
2019-12-03 15:09,0.0357,0.0028,0.0329
2019-12-03 15:08,0.0358,0.0036,0.0322
2019-12-03 15:07,0.0349,0.0036,0.0313
2019-12-03 15:06,0.0338,0.0034,0.0304
2019-12-03 15:05,0.0323,0.0028,0.0296
2019-12-03 15:04,0.0341,0.0052,0.0289
2019-12-03 15:03,0.0308,0.0032,0.0276
2019-12-03 15:02,0.0287,0.0019,0.0268
2019-12-03 15:01,0.0271,0.0008,0.0263
2019-12-03 15:00,0.0277,0.0016,0.0261
2019-12-03 14:59,0.0301,0.0044,0.0257
2019-12-03 14:58,0.0266,0.0020,0.0246
2019-12-03 14:57,0.0249,0.0008,0.0241
2019-12-03 14:56,0.0243,0.0004,0.0239
2019-12-03 14:55,0.0257,0.0019,0.0238
2019-12-03 14:54,0.0267,0.0034,0.0233
2019-12-03 14:53,0.0276,0.0051,0.0225
2019-12-03 14:52,0.0303,0.0091,0.0212
2019-12-03 14:51,0.0313,0.0123,0.0190
2019-12-03 14:50,0.0291,0.0132,0.0159
2019-12-03 14:49,0.0268,0.0143,0.0126
2019-12-03 14:48,0.0246,0.0156,0.0090
2019-12-03 14:47,0.0204,0.0153,0.0051
2019-12-03 14:46,0.0157,0.0144,0.0013
2019-12-03 14:45,0.0126,0.0149,-0.0023
2019-12-03 14:44,0.0094,0.0154,-0.0060
2019-12-03 14:43,0.0062,0.0161,-0.0099
2019-12-03 14:42,0.0041,0.0180,-0.0139
2019-12-03 14:41,0.0014,0.0198,-0.0184
2019-12-03 14:40,-0.0031,0.0202,-0.0234
2019-12-03 14:39,-0.0099,0.0185,-0.0284
2019-12-03 14:38,-0.0189,0.0141,-0.0330
2019-12-03 14:37,-0.0276,0.0089,-0.0366
2019-12-03 14:36,-0.0312,0.0076,-0.0388
2019-12-03 14:35,-0.0352,0.0055,-0.0407
2019-12-03 14:34,-0.0389,0.0032,-0.0421
2019-12-03 14:33,-0.0430,-0.0002,-0.0429
2019-12-03 14:32,-0.0446,-0.0018,-0.0428
2019-12-03 14:31,-0.0459,-0.0035,-0.0424
2019-12-03 14:30,-0.0454,-0.0039,-0.0415
2019-12-03 14:29,-0.0447,-0.0042,-0.0405
2019-12-03 14:28,-0.0460,-0.0065,-0.0395
2019-12-03 14:27,-0.0400,-0.0022,-0.0378
2019-12-03 14:26,-0.0379,-0.0006,-0.0373
2019-12-03 14:25,-0.0366,0.0005,-0.0372
2019-12-03 14:24,-0.0356,0.0017,-0.0373
2019-12-03 14:23,-0.0357,0.0020,-0.0377
2019-12-03 14:22,-0.0323,0.0059,-0.0382
2019-12-03 14:21,-0.0347,0.0050,-0.0397
2019-12-03 14:20,-0.0392,0.0018,-0.0410
2019-12-03 14:19,-0.0423,-0.0010,-0.0414
2019-12-03 14:18,-0.0417,-0.0005,-0.0412
2019-12-03 14:17,-0.0422,-0.0012,-0.0410
2019-12-03 14:16,-0.0454,-0.0047,-0.0407
2019-12-03 14:15,-0.0498,-0.0102,-0.0396
2019-12-03 14:14,-0.0496,-0.0126,-0.0370
2019-12-03 14:13,-0.0512,-0.0174,-0.0338
2019-12-03 14:12,-0.0509,-0.0215,-0.0295
2019-12-03 14:11,-0.0438,-0.0197,-0.0241
2019-12-03 14:10,-0.0350,-0.0158,-0.0192
2019-12-03 14:09,-0.0243,-0.0090,-0.0153
2019-12-03 14:08,-0.0174,-0.0044,-0.0130
2019-12-03 14:07,-0.0104,0.0015,-0.0119
2019-12-03 14:06,-0.0084,0.0039,-0.0123
2019-12-03 14:05,-0.0053,0.0080,-0.0132
2019-12-03 14:04,-0.0098,0.0054,-0.0152
2019-12-03 14:03,-0.0145,0.0021,-0.0166
2019-12-03 14:02,-0.0203,-0.0031,-0.0171
2019-12-03 14:01,-0.0222,-0.0059,-0.0163
2019-12-03 14:00,-0.0223,-0.0075,-0.0149
2019-12-03 13:59,-0.0176,-0.0046,-0.0130
2019-12-03 13:58,-0.0169,-0.0050,-0.0119
2019-12-03 13:57,-0.0172,-0.0066,-0.0106
2019-12-03 13:56,-0.0169,-0.0080,-0.0090
2019-12-03 13:55,-0.0204,-0.0134,-0.0070
2019-12-03 13:54,-0.0235,-0.0199,-0.0036
2019-12-03 13:53,-0.0210,-0.0224,0.0014
2019-12-03 13:52,-0.0134,-0.0204,0.0070
2019-12-03 13:51,-0.0086,-0.0207,0.0121
