time,MACD,MACD_Hist,MACD_Signal
2019-11-26 16:00,0.0933,0.0384,0.0549
2019-11-26 15:59,0.0946,0.0493,0.0453
2019-11-26 15:58,0.0908,0.0579,0.0330
2019-11-26 15:57,0.0797,0.0611,0.0185
2019-11-26 15:56,0.0622,0.0589,0.0032
2019-11-26 15:55,0.0349,0.0464,-0.0115
2019-11-26 15:54,0.0179,0.0410,-0.0231
2019-11-26 15:53,-0.0031,0.0303,-0.0333
2019-11-26 15:52,-0.0201,0.0208,-0.0409
2019-11-26 15:51,-0.0369,0.0092,-0.0461
2019-11-26 15:50,-0.0416,0.0068,-0.0484
2019-11-26 15:49,-0.0449,0.0051,-0.0501
2019-11-26 15:48,-0.0475,0.0038,-0.0514
2019-11-26 15:47,-0.0527,-0.0004,-0.0523
2019-11-26 15:46,-0.0513,0.0009,-0.0522
2019-11-26 15:45,-0.0483,0.0041,-0.0525
2019-11-26 15:44,-0.0479,0.0056,-0.0535
2019-11-26 15:43,-0.0506,0.0043,-0.0549
2019-11-26 15:42,-0.0565,-0.0006,-0.0560
2019-11-26 15:41,-0.0586,-0.0028,-0.0558
2019-11-26 15:40,-0.0590,-0.0039,-0.0551
2019-11-26 15:39,-0.0606,-0.0065,-0.0541
2019-11-26 15:38,-0.0557,-0.0032,-0.0525
2019-11-26 15:37,-0.0527,-0.0010,-0.0517
2019-11-26 15:36,-0.0563,-0.0048,-0.0514
2019-11-26 15:35,-0.0549,-0.0046,-0.0502
2019-11-26 15:34,-0.0538,-0.0047,-0.0491
2019-11-26 15:33,-0.0539,-0.0060,-0.0479
2019-11-26 15:32,-0.0530,-0.0066,-0.0464
2019-11-26 15:31,-0.0517,-0.0069,-0.0448
2019-11-26 15:30,-0.0487,-0.0057,-0.0430
2019-11-26 15:29,-0.0488,-0.0072,-0.0416
2019-11-26 15:28,-0.0472,-0.0073,-0.0398
2019-11-26 15:27,-0.0434,-0.0054,-0.0380
2019-11-26 15:26,-0.0389,-0.0023,-0.0366
2019-11-26 15:25,-0.0307,0.0054,-0.0360
2019-11-26 15:24,-0.0298,0.0076,-0.0374
2019-11-26 15:23,-0.0304,0.0089,-0.0393
2019-11-26 15:22,-0.0332,0.0083,-0.0415
2019-11-26 15:21,-0.0363,0.0073,-0.0436
2019-11-26 15:20,-0.0402,0.0052,-0.0454
2019-11-26 15:19,-0.0446,0.0021,-0.0467
2019-11-26 15:18,-0.0456,0.0017,-0.0473
2019-11-26 15:17,-0.0481,-0.0004,-0.0477
2019-11-26 15:16,-0.0527,-0.0052,-0.0476
2019-11-26 15:15,-0.0589,-0.0126,-0.0463
2019-11-26 15:14,-0.0598,-0.0166,-0.0431
2019-11-26 15:13,-0.0569,-0.0180,-0.0390
2019-11-26 15:12,-0.0515,-0.0170,-0.0345
2019-11-26 15:11,-0.0469,-0.0166,-0.0302
2019-11-26 15:10,-0.0435,-0.0174,-0.0261
2019-11-26 15:09,-0.0414,-0.0197,-0.0217
2019-11-26 15:08,-0.0377,-0.0209,-0.0168
2019-11-26 15:07,-0.0308,-0.0192,-0.0116
2019-11-26 15:06,-0.0257,-0.0189,-0.0068
2019-11-26 15:05,-0.0198,-0.0177,-0.0021
2019-11-26 15:04,-0.0110,-0.0134,0.0024
2019-11-26 15:03,-0.0047,-0.0104,0.0057
2019-11-26 15:02,0.0014,-0.0069,0.0083
2019-11-26 15:01,0.0025,-0.0075,0.0100
2019-11-26 15:00,0.0054,-0.0065,0.0119
2019-11-26 14:59,0.0081,-0.0055,0.0135
2019-11-26 14:58,0.0093,-0.0056,0.0149
2019-11-26 14:57,0.0117,-0.0045,0.0163
2019-11-26 14:56,0.0157,-0.0017,0.0174
2019-11-26 14:55,0.0144,-0.0034,0.0178
2019-11-26 14:54,0.0157,-0.0030,0.0187
2019-11-26 14:53,0.0170,-0.0024,0.0194
2019-11-26 14:52,0.0175,-0.0026,0.0200
2019-11-26 14:51,0.0178,-0.0029,0.0207
2019-11-26 14:50,0.0170,-0.0044,0.0214
2019-11-26 14:49,0.0166,-0.0059,0.0225
2019-11-26 14:48,0.0150,-0.0090,0.0240
2019-11-26 14:47,0.0136,-0.0126,0.0262
2019-11-26 14:46,0.0138,-0.0156,0.0294
2019-11-26 14:45,0.0208,-0.0124,0.0333
2019-11-26 14:44,0.0255,-0.0109,0.0364
2019-11-26 14:43,0.0311,-0.0080,0.0391
2019-11-26 14:42,0.0353,-0.0059,0.0411
2019-11-26 14:41,0.0416,-0.0010,0.0426
2019-11-26 14:40,0.0449,0.0021,0.0428
2019-11-26 14:39,0.0465,0.0042,0.0423
2019-11-26 14:38,0.0489,0.0077,0.0413
2019-11-26 14:37,0.0513,0.0119,0.0393
2019-11-26 14:36,0.0505,0.0141,0.0364
2019-11-26 14:35,0.0446,0.0118,0.0328
2019-11-26 14:34,0.0437,0.0138,0.0299
2019-11-26 14:33,0.0438,0.0174,0.0264
2019-11-26 14:32,0.0393,0.0172,0.0221
2019-11-26 14:31,0.0309,0.0132,0.0178
2019-11-26 14:30,0.0249,0.0104,0.0145
2019-11-26 14:29,0.0189,0.0070,0.0119
2019-11-26 14:28,0.0109,0.0008,0.0101
2019-11-26 14:27,0.0047,-0.0052,0.0099
2019-11-26 14:26,0.0028,-0.0085,0.0112
2019-11-26 14:25,0.0068,-0.0066,0.0133
2019-11-26 14:24,0.0117,-0.0033,0.0150
2019-11-26 14:23,0.0129,-0.0029,0.0158
2019-11-26 14:22,0.0148,-0.0018,0.0165
2019-11-26 14:21,0.0159,-0.0011,0.0170
2019-11-26 14:20,0.0222,0.0049,0.0173
2019-11-26 14:19,0.0218,0.0057,0.0160
2019-11-26 14:18,0.0199,0.0053,0.0146
2019-11-26 14:17,0.0165,0.0032,0.0133
2019-11-26 14:16,0.0142,0.0017,0.0124
2019-11-26 14:15,0.0136,0.0016,0.0120
2019-11-26 14:14,0.0136,0.0020,0.0116
2019-11-26 14:13,0.0121,0.0010,0.0111
2019-11-26 14:12,0.0124,0.0015,0.0109
2019-11-26 14:11,0.0126,0.0021,0.0105
2019-11-26 14:10,0.0136,0.0037,0.0100
2019-11-26 14:09,0.0117,0.0027,0.0091
2019-11-26 14:08,0.0102,0.0018,0.0084
2019-11-26 14:07,0.0101,0.0021,0.0080
2019-11-26 14:06,0.0077,0.0003,0.0074
2019-11-26 14:05,0.0092,0.0019,0.0073
2019-11-26 14:04,0.0115,0.0047,0.0069
2019-11-26 14:03,0.0102,0.0045,0.0057
2019-11-26 14:02,0.0072,0.0026,0.0046
2019-11-26 14:01,0.0024,-0.0015,0.0039
2019-11-26 14:00,0.0044,0.0001,0.0043
2019-11-26 13:59,0.0058,0.0016,0.0043
2019-11-26 13:58,0.0066,0.0027,0.0039
2019-11-26 13:57,0.0074,0.0043,0.0032
2019-11-26 13:56,0.0084,0.0063,0.0021
2019-11-26 13:55,0.0096,0.0090,0.0005
2019-11-26 13:54,0.0114,0.0131,-0.0017
2019-11-26 13:53,0.0089,0.0139,-0.0050
2019-11-26 13:52,0.0079,0.0164,-0.0085
2019-11-26 13:51,0.0064,0.0190,-0.0126
2019-11-26 13:50,0.0053,0.0226,-0.0173
2019-11-26 13:49,0.0007,0.0237,-0.0230
2019-11-26 13:48,-0.0054,0.0235,-0.0289
2019-11-26 13:47,-0.0138,0.0210,-0.0348
2019-11-26 13:46,-0.0168,0.0232,-0.0400
2019-11-26 13:45,-0.0213,0.0245,-0.0458
2019-11-26 13:44,-0.0263,0.0257,-0.0520
2019-11-26 13:43,-0.0337,0.0247,-0.0584
2019-11-26 13:42,-0.0441,0.0204,-0.0646
2019-11-26 13:41,-0.0519,0.0178,-0.0697
2019-11-26 13:40,-0.0599,0.0142,-0.0741
2019-11-26 13:39,-0.0673,0.0104,-0.0777
2019-11-26 13:38,-0.0737,0.0066,-0.0803
2019-11-26 13:37,-0.0798,0.0021,-0.0819
2019-11-26 13:36,-0.0851,-0.0026,-0.0825
2019-11-26 13:35,-0.0858,-0.0039,-0.0818
2019-11-26 13:34,-0.0844,-0.0036,-0.0809
2019-11-26 13:33,-0.0866,-0.0066,-0.0800
2019-11-26 13:32,-0.0847,-0.0064,-0.0783
2019-11-26 13:31,-0.0852,-0.0085,-0.0767
2019-11-26 13:30,-0.0849,-0.0103,-0.0746
2019-11-26 13:29,-0.0842,-0.0122,-0.0720
2019-11-26 13:28,-0.0812,-0.0123,-0.0689
2019-11-26 13:27,-0.0771,-0.0113,-0.0659
2019-11-26 13:26,-0.0718,-0.0087,-0.0631
2019-11-26 13:25,-0.0680,-0.0071,-0.0609
2019-11-26 13:24,-0.0643,-0.0052,-0.0591
2019-11-26 13:23,-0.0626,-0.0048,-0.0578
2019-11-26 13:22,-0.0627,-0.0061,-0.0566
2019-11-26 13:21,-0.0649,-0.0098,-0.0551
2019-11-26 13:20,-0.0647,-0.0121,-0.0526
2019-11-26 13:19,-0.0672,-0.0176,-0.0496
2019-11-26 13:18,-0.0657,-0.0205,-0.0452
2019-11-26 13:17,-0.0609,-0.0208,-0.0400
2019-11-26 13:16,-0.0568,-0.0220,-0.0348
2019-11-26 13:15,-0.0529,-0.0235,-0.0293
2019-11-26 13:14,-0.0481,-0.0246,-0.0235
2019-11-26 13:13,-0.0393,-0.0220,-0.0173
2019-11-26 13:12,-0.0310,-0.0192,-0.0118
2019-11-26 13:11,-0.0215,-0.0145,-0.0070
2019-11-26 13:10,-0.0134,-0.0100,-0.0034
2019-11-26 13:09,-0.0077,-0.0068,-0.0009
2019-11-26 13:08,-0.0044,-0.0052,0.0008
2019-11-26 13:07,-0.0022,-0.0043,0.0021
2019-11-26 13:06,0.0028,-0.0004,0.0032
2019-11-26 13:05,0.0080,0.0047,0.0033
2019-11-26 13:04,0.0095,0.0074,0.0021
2019-11-26 13:03,0.0072,0.0069,0.0003
2019-11-26 13:02,0.0031,0.0046,-0.0015
2019-11-26 13:01,-0.0042,-0.0015,-0.0026
2019-11-26 13:00,-0.0054,-0.0031,-0.0023
2019-11-26 12:59,-0.0027,-0.0012,-0.0015
2019-11-26 12:58,-0.0042,-0.0031,-0.0012
2019-11-26 12:57,-0.0052,-0.0048,-0.0004
2019-11-26 12:56,-0.0042,-0.0050,0.0008
2019-11-26 12:55,-0.0010,-0.0030,0.0020
2019-11-26 12:54,0.0012,-0.0016,0.0028
2019-11-26 12:53,0.0029,-0.0003,0.0032
2019-11-26 12:52,0.0031,-0.0002,0.0033
2019-11-26 12:51,0.0023,-0.0010,0.0033
2019-11-26 12:50,0.0042,0.0006,0.0036
2019-11-26 12:49,0.0036,0.0001,0.0034
2019-11-26 12:48,0.0016,-0.0018,0.0034
2019-11-26 12:47,0.0022,-0.0016,0.0038
2019-11-26 12:46,-0.0002,-0.0044,0.0042
2019-11-26 12:45,0.0029,-0.0024,0.0053
2019-11-26 12:44,0.0058,-0.0001,0.0059
2019-11-26 12:43,0.0074,0.0014,0.0060
2019-11-26 12:42,0.0072,0.0016,0.0056
2019-11-26 12:41,0.0080,0.0027,0.0052
2019-11-26 12:40,0.0027,-0.0019,0.0045
2019-11-26 12:39,0.0010,-0.0040,0.0050
2019-11-26 12:38,0.0039,-0.0022,0.0060
2019-11-26 12:37,0.0045,-0.0021,0.0066
2019-11-26 12:36,0.0011,-0.0060,0.0071
2019-11-26 12:35,-0.0002,-0.0088,0.0086
2019-11-26 12:34,-0.0008,-0.0116,0.0108
2019-11-26 12:33,0.0005,-0.0132,0.0137
2019-11-26 12:32,0.0016,-0.0154,0.0170
2019-11-26 12:31,-0.0016,-0.0224,0.0208
2019-11-26 12:30,-0.0016,-0.0280,0.0264
2019-11-26 12:29,0.0005,-0.0329,0.0334
2019-11-26 12:28,0.0073,-0.0343,0.0416
2019-11-26 12:27,0.0168,-0.0334,0.0502
2019-11-26 12:26,0.0282,-0.0304,0.0585
2019-11-26 12:25,0.0416,-0.0245,0.0661
2019-11-26 12:24,0.0482,-0.0241,0.0723
2019-11-26 12:23,0.0545,-0.0238,0.0783
2019-11-26 12:22,0.0621,-0.0221,0.0842
2019-11-26 12:21,0.0658,-0.0240,0.0898
2019-11-26 12:20,0.0685,-0.0272,0.0958
2019-11-26 12:19,0.0797,-0.0228,0.1026
2019-11-26 12:18,0.0892,-0.0190,0.1083
2019-11-26 12:17,0.0940,-0.0190,0.1130
2019-11-26 12:16,0.0976,-0.0202,0.1178
2019-11-26 12:15,0.1060,-0.0168,0.1228
2019-11-26 12:14,0.1135,-0.0135,0.1270
2019-11-26 12:13,0.1201,-0.0103,0.1304
2019-11-26 12:12,0.1276,-0.0053,0.1330
2019-11-26 12:11,0.1350,0.0007,0.1343
2019-11-26 12:10,0.1356,0.0015,0.1341
2019-11-26 12:09,0.1366,0.0029,0.1338
2019-11-26 12:08,0.1379,0.0049,0.1330
2019-11-26 12:07,0.1397,0.0078,0.1318
2019-11-26 12:06,0.1419,0.0120,0.1299
2019-11-26 12:05,0.1411,0.0143,0.1269
2019-11-26 12:04,0.1406,0.0173,0.1233
2019-11-26 12:03,0.1420,0.0231,0.1190
2019-11-26 12:02,0.1430,0.0298,0.1132
2019-11-26 12:01,0.1384,0.0326,0.1058
2019-11-26 12:00,0.1310,0.0334,0.0976
2019-11-26 11:59,0.1268,0.0376,0.0893
2019-11-26 11:58,0.1150,0.0351,0.0799
2019-11-26 11:57,0.0998,0.0287,0.0711
2019-11-26 11:56,0.0921,0.0282,0.0639
2019-11-26 11:55,0.0830,0.0262,0.0569
2019-11-26 11:54,0.0764,0.0260,0.0503
2019-11-26 11:52,0.0677,0.0239,0.0438
2019-11-26 11:51,0.0639,0.0260,0.0379
2019-11-26 11:50,0.0581,0.0267,0.0314
2019-11-26 11:49,0.0539,0.0292,0.0247
2019-11-26 11:48,0.0446,0.0272,0.0174
2019-11-26 11:47,0.0353,0.0247,0.0106
2019-11-26 11:46,0.0284,0.0240,0.0044
2019-11-26 11:45,0.0199,0.0215,-0.0016
2019-11-26 11:44,0.0107,0.0176,-0.0070
2019-11-26 11:43,0.0032,0.0146,-0.0114
2019-11-26 11:42,-0.0058,0.0092,-0.0150
2019-11-26 11:41,-0.0111,0.0063,-0.0173
2019-11-26 11:40,-0.0146,0.0043,-0.0189
2019-11-26 11:39,-0.0148,0.0052,-0.0200
2019-11-26 11:38,-0.0220,-0.0007,-0.0213
2019-11-26 11:37,-0.0227,-0.0016,-0.0211
2019-11-26 11:36,-0.0212,-0.0006,-0.0207
2019-11-26 11:35,-0.0160,0.0045,-0.0205
2019-11-26 11:34,-0.0142,0.0075,-0.0217
2019-11-26 11:33,-0.0157,0.0078,-0.0235
2019-11-26 11:32,-0.0164,0.0091,-0.0255
2019-11-26 11:31,-0.0166,0.0111,-0.0278
2019-11-26 11:30,-0.0212,0.0094,-0.0305
2019-11-26 11:29,-0.0236,0.0093,-0.0329
2019-11-26 11:28,-0.0269,0.0083,-0.0352
2019-11-26 11:26,-0.0312,0.0061,-0.0373
2019-11-26 11:25,-0.0281,0.0107,-0.0388
2019-11-26 11:24,-0.0248,0.0167,-0.0415
2019-11-26 11:23,-0.0344,0.0113,-0.0457
2019-11-26 11:22,-0.0370,0.0115,-0.0485
2019-11-26 11:21,-0.0358,0.0156,-0.0514
2019-11-26 11:20,-0.0347,0.0206,-0.0553
2019-11-26 11:19,-0.0358,0.0246,-0.0604
2019-11-26 11:18,-0.0459,0.0206,-0.0666
2019-11-26 11:17,-0.0541,0.0176,-0.0717
2019-11-26 11:16,-0.0576,0.0185,-0.0761
2019-11-26 11:15,-0.0592,0.0215,-0.0808
2019-11-26 11:14,-0.0645,0.0216,-0.0862
2019-11-26 11:13,-0.0727,0.0189,-0.0916
2019-11-26 11:12,-0.0828,0.0135,-0.0963
2019-11-26 11:11,-0.0903,0.0093,-0.0997
2019-11-26 11:10,-0.0916,0.0104,-0.1020
2019-11-26 11:09,-0.0898,0.0148,-0.1046
2019-11-26 11:08,-0.0912,0.0171,-0.1083
2019-11-26 11:06,-0.0928,0.0198,-0.1126
2019-11-26 11:05,-0.0955,0.0220,-0.1175
2019-11-26 11:04,-0.1027,0.0203,-0.1230
2019-11-26 11:03,-0.1052,0.0229,-0.1281
2019-11-26 11:02,-0.1207,0.0132,-0.1338
2019-11-26 11:01,-0.1391,-0.0020,-0.1371
2019-11-26 11:00,-0.1515,-0.0149,-0.1366
2019-11-26 10:59,-0.1540,-0.0211,-0.1329
2019-11-26 10:58,-0.1538,-0.0262,-0.1276
2019-11-26 10:57,-0.1452,-0.0241,-0.1211
2019-11-26 10:56,-0.1383,-0.0233,-0.1150
2019-11-26 10:55,-0.1305,-0.0213,-0.1092
2019-11-26 10:54,-0.1167,-0.0128,-0.1039
2019-11-26 10:53,-0.1106,-0.0099,-0.1007
2019-11-26 10:51,-0.1022,-0.0040,-0.0982
2019-11-26 10:50,-0.0991,-0.0019,-0.0972
2019-11-26 10:49,-0.0978,-0.0011,-0.0968
2019-11-26 10:48,-0.0937,0.0028,-0.0965
2019-11-26 10:47,-0.0881,0.0091,-0.0972
2019-11-26 10:46,-0.0884,0.0111,-0.0995
2019-11-26 10:45,-0.0930,0.0093,-0.1022
2019-11-26 10:44,-0.1006,0.0040,-0.1045
2019-11-26 10:43,-0.1068,-0.0012,-0.1055
2019-11-26 10:42,-0.1141,-0.0089,-0.1052
2019-11-26 10:41,-0.1148,-0.0118,-0.1030
2019-11-26 10:40,-0.1088,-0.0087,-0.1001
2019-11-26 10:39,-0.1057,-0.0078,-0.0979
2019-11-26 10:38,-0.1023,-0.0064,-0.0959
2019-11-26 10:37,-0.1008,-0.0065,-0.0943
2019-11-26 10:36,-0.0992,-0.0065,-0.0927
2019-11-26 10:35,-0.1008,-0.0097,-0.0911
2019-11-26 10:34,-0.1003,-0.0117,-0.0886
2019-11-26 10:33,-0.0941,-0.0084,-0.0857
2019-11-26 10:32,-0.0890,-0.0054,-0.0836
2019-11-26 10:31,-0.0801,0.0022,-0.0823
2019-11-26 10:30,-0.0778,0.0050,-0.0828
2019-11-26 10:29,-0.0767,0.0074,-0.0841
2019-11-26 10:28,-0.0763,0.0096,-0.0859
2019-11-26 10:27,-0.0798,0.0085,-0.0883
2019-11-26 10:26,-0.0840,0.0064,-0.0905
2019-11-26 10:25,-0.0934,-0.0013,-0.0921
2019-11-26 10:24,-0.1008,-0.0091,-0.0917
2019-11-26 10:23,-0.1064,-0.0169,-0.0894
2019-11-26 10:22,-0.1063,-0.0211,-0.0852
2019-11-26 10:21,-0.1016,-0.0217,-0.0799
2019-11-26 10:20,-0.0946,-0.0201,-0.0745
2019-11-26 10:19,-0.0910,-0.0215,-0.0695
2019-11-26 10:18,-0.0850,-0.0209,-0.0641
2019-11-26 10:17,-0.0795,-0.0206,-0.0589
2019-11-26 10:16,-0.0750,-0.0213,-0.0538
2019-11-26 10:15,-0.0703,-0.0219,-0.0484
2019-11-26 10:14,-0.0653,-0.0224,-0.0430
2019-11-26 10:13,-0.0580,-0.0206,-0.0374
2019-11-26 10:12,-0.0498,-0.0176,-0.0322
2019-11-26 10:11,-0.0433,-0.0155,-0.0278
2019-11-26 10:10,-0.0420,-0.0180,-0.0240
2019-11-26 10:09,-0.0443,-0.0249,-0.0195
2019-11-26 10:08,-0.0430,-0.0297,-0.0133
2019-11-26 10:07,-0.0387,-0.0328,-0.0058
2019-11-26 10:06,-0.0325,-0.0349,0.0024
2019-11-26 10:05,-0.0212,-0.0324,0.0111
2019-11-26 10:04,-0.0105,-0.0297,0.0192
2019-11-26 10:03,0.0053,-0.0213,0.0267
2019-11-26 10:02,0.0214,-0.0106,0.0320
2019-11-26 10:01,0.0191,-0.0156,0.0346
2019-11-26 10:00,0.0353,-0.0033,0.0385
2019-11-26 09:59,0.0412,0.0019,0.0394
2019-11-26 09:58,0.0431,0.0042,0.0389
2019-11-26 09:57,0.0418,0.0040,0.0379
2019-11-26 09:56,0.0457,0.0088,0.0369
2019-11-26 09:55,0.0459,0.0113,0.0346
2019-11-26 09:54,0.0445,0.0127,0.0318
2019-11-26 09:53,0.0451,0.0164,0.0287
2019-11-26 09:52,0.0411,0.0165,0.0246
2019-11-26 09:51,0.0364,0.0160,0.0204
2019-11-26 09:50,0.0269,0.0104,0.0164
2019-11-26 09:49,0.0164,0.0025,0.0138
2019-11-26 09:48,0.0170,0.0038,0.0132
2019-11-26 09:47,0.0164,0.0041,0.0123
2019-11-26 09:46,0.0231,0.0118,0.0112
2019-11-26 09:45,0.0156,0.0073,0.0083
2019-11-26 09:44,0.0149,0.0084,0.0065
2019-11-26 09:43,0.0117,0.0074,0.0044
2019-11-26 09:42,0.0066,0.0041,0.0025
2019-11-26 09:41,0.0040,0.0024,0.0015
2019-11-26 09:40,-0.0005,-0.0014,0.0009
2019-11-26 09:39,-0.0122,-0.0135,0.0012
2019-11-26 09:38,-0.0169,-0.0215,0.0046
2019-11-26 09:37,-0.0164,-0.0264,0.0100
2019-11-26 09:36,-0.0051,-0.0217,0.0166
2019-11-26 09:35,-0.0032,-0.0252,0.0220
2019-11-26 09:34,-0.0041,-0.0324,0.0283
2019-11-26 09:33,0.0125,-0.0239,0.0364
2019-11-26 09:32,0.0244,-0.0180,0.0424
2019-11-26 09:31,0.0585,0.0116,0.0468
2019-11-25 16:00,0.0674,0.0234,0.0439
2019-11-25 15:59,0.0688,0.0307,0.0381
2019-11-25 15:58,0.0655,0.0350,0.0304
2019-11-25 15:57,0.0552,0.0336,0.0217
2019-11-25 15:56,0.0450,0.0317,0.0133
2019-11-25 15:55,0.0348,0.0294,0.0053
2019-11-25 15:54,0.0212,0.0232,-0.0020
2019-11-25 15:53,0.0077,0.0155,-0.0078
2019-11-25 15:52,-0.0057,0.0060,-0.0117
2019-11-25 15:51,-0.0114,0.0018,-0.0132
2019-11-25 15:50,-0.0094,0.0042,-0.0136
2019-11-25 15:49,-0.0135,0.0012,-0.0147
2019-11-25 15:48,-0.0209,-0.0059,-0.0150
2019-11-25 15:47,-0.0210,-0.0075,-0.0135
2019-11-25 15:46,-0.0212,-0.0095,-0.0116
2019-11-25 15:45,-0.0206,-0.0113,-0.0092
2019-11-25 15:44,-0.0196,-0.0132,-0.0064
2019-11-25 15:43,-0.0185,-0.0154,-0.0031
2019-11-25 15:42,-0.0163,-0.0170,0.0007
2019-11-25 15:41,-0.0138,-0.0188,0.0050
2019-11-25 15:40,-0.0104,-0.0201,0.0097
2019-11-25 15:39,-0.0049,-0.0196,0.0147
2019-11-25 15:38,0.0036,-0.0161,0.0196
2019-11-25 15:37,0.0084,-0.0153,0.0236
2019-11-25 15:36,0.0154,-0.0121,0.0275
2019-11-25 15:35,0.0231,-0.0074,0.0305
2019-11-25 15:34,0.0313,-0.0011,0.0323
2019-11-25 15:33,0.0365,0.0039,0.0326
2019-11-25 15:32,0.0405,0.0089,0.0316
2019-11-25 15:31,0.0370,0.0076,0.0294
2019-11-25 15:30,0.0360,0.0085,0.0275
2019-11-25 15:29,0.0357,0.0104,0.0254
2019-11-25 15:28,0.0344,0.0116,0.0228
2019-11-25 15:27,0.0327,0.0128,0.0199
2019-11-25 15:26,0.0305,0.0138,0.0167
2019-11-25 15:25,0.0258,0.0126,0.0132
2019-11-25 15:24,0.0220,0.0119,0.0101
2019-11-25 15:23,0.0162,0.0091,0.0071
2019-11-25 15:22,0.0138,0.0089,0.0048
2019-11-25 15:21,0.0114,0.0088,0.0026
2019-11-25 15:20,0.0047,0.0043,0.0004
2019-11-25 15:19,0.0042,0.0050,-0.0007
2019-11-25 15:18,0.0056,0.0076,-0.0020
2019-11-25 15:17,0.0062,0.0101,-0.0038
2019-11-25 15:16,0.0008,0.0072,-0.0064
2019-11-25 15:15,-0.0061,0.0021,-0.0082
2019-11-25 15:14,-0.0117,-0.0031,-0.0087
2019-11-25 15:13,-0.0163,-0.0083,-0.0079
2019-11-25 15:12,-0.0172,-0.0114,-0.0058
2019-11-25 15:11,-0.0156,-0.0126,-0.0030
2019-11-25 15:10,-0.0108,-0.0110,0.0002
2019-11-25 15:09,-0.0076,-0.0105,0.0029
2019-11-25 15:08,-0.0034,-0.0089,0.0055
2019-11-25 15:07,0.0008,-0.0070,0.0078
2019-11-25 15:06,0.0064,-0.0031,0.0095
2019-11-25 15:05,0.0083,-0.0020,0.0103
2019-11-25 15:04,0.0086,-0.0022,0.0108
2019-11-25 15:03,0.0099,-0.0015,0.0113
2019-11-25 15:02,0.0093,-0.0024,0.0117
2019-11-25 15:01,0.0075,-0.0048,0.0123
2019-11-25 15:00,0.0074,-0.0061,0.0135
2019-11-25 14:59,0.0099,-0.0051,0.0150
2019-11-25 14:58,0.0124,-0.0039,0.0163
2019-11-25 14:57,0.0140,-0.0033,0.0173
2019-11-25 14:56,0.0167,-0.0014,0.0181
2019-11-25 14:55,0.0179,-0.0005,0.0184
2019-11-25 14:54,0.0182,-0.0003,0.0186
2019-11-25 14:53,0.0168,-0.0018,0.0186
2019-11-25 14:52,0.0193,0.0002,0.0191
2019-11-25 14:51,0.0182,-0.0008,0.0190
2019-11-25 14:50,0.0170,-0.0022,0.0192
2019-11-25 14:49,0.0198,0.0000,0.0198
2019-11-25 14:48,0.0221,0.0023,0.0198
2019-11-25 14:47,0.0237,0.0044,0.0192
2019-11-25 14:46,0.0245,0.0064,0.0181
2019-11-25 14:45,0.0234,0.0069,0.0165
2019-11-25 14:44,0.0209,0.0061,0.0148
2019-11-25 14:43,0.0198,0.0065,0.0133
2019-11-25 14:42,0.0175,0.0059,0.0117
2019-11-25 14:41,0.0149,0.0047,0.0102
2019-11-25 14:40,0.0113,0.0023,0.0090
2019-11-25 14:39,0.0087,0.0003,0.0084
2019-11-25 14:38,0.0072,-0.0012,0.0084
2019-11-25 14:37,0.0088,0.0001,0.0087
2019-11-25 14:36,0.0111,0.0025,0.0086
2019-11-25 14:35,0.0130,0.0050,0.0080
2019-11-25 14:34,0.0138,0.0071,0.0067
2019-11-25 14:33,0.0094,0.0044,0.0050
2019-11-25 14:32,0.0058,0.0019,0.0039
2019-11-25 14:31,0.0021,-0.0012,0.0034
2019-11-25 14:30,0.0024,-0.0013,0.0037
2019-11-25 14:29,0.0032,-0.0008,0.0040
2019-11-25 14:28,0.0041,-0.0001,0.0042
2019-11-25 14:27,0.0054,0.0012,0.0043
2019-11-25 14:26,0.0069,0.0029,0.0040
2019-11-25 14:25,0.0056,0.0023,0.0032
2019-11-25 14:24,0.0039,0.0012,0.0027
2019-11-25 14:23,0.0047,0.0023,0.0024
2019-11-25 14:22,0.0056,0.0038,0.0018
2019-11-25 14:21,0.0062,0.0053,0.0008
2019-11-25 14:20,0.0084,0.0089,-0.0005
2019-11-25 14:19,0.0080,0.0107,-0.0027
2019-11-25 14:18,0.0054,0.0108,-0.0054
2019-11-25 14:17,0.0030,0.0111,-0.0081
2019-11-25 14:16,0.0009,0.0118,-0.0109
2019-11-25 14:15,-0.0033,0.0105,-0.0138
2019-11-25 14:14,-0.0081,0.0084,-0.0165
2019-11-25 14:13,-0.0141,0.0044,-0.0185
2019-11-25 14:12,-0.0175,0.0021,-0.0197
2019-11-25 14:11,-0.0171,0.0031,-0.0202
2019-11-25 14:10,-0.0167,0.0043,-0.0210
2019-11-25 14:09,-0.0177,0.0043,-0.0220
2019-11-25 14:08,-0.0184,0.0048,-0.0231
2019-11-25 14:07,-0.0186,0.0057,-0.0243
2019-11-25 14:06,-0.0202,0.0055,-0.0257
2019-11-25 14:05,-0.0219,0.0052,-0.0271
2019-11-25 14:04,-0.0236,0.0048,-0.0284
2019-11-25 14:03,-0.0261,0.0035,-0.0296
2019-11-25 14:02,-0.0269,0.0036,-0.0305
2019-11-25 14:01,-0.0286,0.0028,-0.0314
2019-11-25 14:00,-0.0302,0.0018,-0.0321
2019-11-25 13:59,-0.0340,-0.0015,-0.0325
2019-11-25 13:58,-0.0352,-0.0031,-0.0321
